,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,2,0.003351456,0.005938132,0.282197817,0.625,0.5
2023-01-24 14:30:00+00:00,78,6,0.00799649,0.004407433,0.302386543,1.538192749,0.666666667
2023-01-25 14:30:00+00:00,78,6,0.019099637,0.001602422,1.986538709,3.650985718,1
2023-01-26 14:30:00+00:00,78,7,0.005973168,0.004180929,0.204095729,1.188796997,0.714285714
2023-01-27 14:30:00+00:00,78,6,0.017637071,0.00295501,0.994755347,3.561859131,0.666666667
2023-01-28 14:30:00+00:00,78,6,0.017637071,0.00295501,0.994755347,3.561859131,0.666666667
2023-01-29 14:30:00+00:00,78,6,0.017637071,0.00295501,0.994755347,3.561859131,0.666666667
2023-01-30 14:30:00+00:00,78,6,-0.006404325,0.001612291,-0.662031678,-1.238677979,0.166666667
2023-01-31 14:30:00+00:00,78,7,0.011717979,0.003650154,0.458610002,2.287902832,0.571428571
2023-02-01 14:30:00+00:00,78,7,0.028676964,0.009546204,0.429145338,5.806289673,0.571428571
2023-02-02 14:30:00+00:00,78,5,-0.005121164,0.005359926,-0.191090848,-1.093902588,0.6
2023-02-03 14:30:00+00:00,78,9,-0.014852429,0.004136242,-0.39897813,-3.215606689,0.444444444
2023-02-04 14:30:00+00:00,78,9,-0.014852429,0.004136242,-0.39897813,-3.215606689,0.444444444
2023-02-05 14:30:00+00:00,78,9,-0.014852429,0.004136242,-0.39897813,-3.215606689,0.444444444
2023-02-06 14:30:00+00:00,78,5,0.002255073,0.004751582,0.094918811,0.476104736,0.2
2023-02-07 14:30:00+00:00,78,6,0.026503218,0.007497953,0.589121196,5.783081055,0.833333333
2023-02-08 14:30:00+00:00,78,5,-0.011779027,0.004861805,-0.484553643,-2.615020752,0.2
2023-02-09 14:30:00+00:00,78,7,-0.010044081,0.003492885,-0.410797612,-2.251586914,0.428571429
2023-02-10 14:30:00+00:00,78,5,-0.011036184,0.004649288,-0.474747312,-2.326019287,0.4
2023-02-11 14:30:00+00:00,78,5,-0.011036184,0.004649288,-0.474747312,-2.326019287,0.4
2023-02-12 14:30:00+00:00,78,5,-0.011036184,0.004649288,-0.474747312,-2.326019287,0.4
2023-02-13 14:30:00+00:00,78,4,0.000474844,0.005521928,0.021498117,0.104507446,0.5
2023-02-14 14:30:00+00:00,78,5,0.036698728,0.002667376,2.751672282,8.318893433,1
2023-02-15 14:30:00+00:00,78,6,0.015166995,0.002934512,0.861414833,3.405792236,0.833333333
2023-02-16 14:30:00+00:00,78,5,0.007683191,0.007359996,0.208782477,1.736495972,0.8
2023-02-17 14:30:00+00:00,78,5,-0.001387163,0.001640764,-0.169087369,-0.298309326,0.4
2023-02-18 14:30:00+00:00,78,5,-0.001387163,0.001640764,-0.169087369,-0.298309326,0.4
2023-02-19 14:30:00+00:00,78,5,-0.001387163,0.001640764,-0.169087369,-0.298309326,0.4
2023-02-20 14:30:00+00:00,78,5,-0.001387163,0.001640764,-0.169087369,-0.298309326,0.4
2023-02-21 14:30:00+00:00,78,5,0.002094861,0.001155113,0.362711035,0.438598633,0.6
2023-02-22 14:30:00+00:00,78,6,0.002084126,0.003675647,0.094501563,0.416915894,0.5
2023-02-23 14:30:00+00:00,78,4,-0.019749935,0.006762384,-0.730139548,-4.637985229,0.5
2023-02-24 14:30:00+00:00,78,4,-0.003712804,0.002188169,-0.424190836,-0.859603882,0.25
2023-02-25 14:30:00+00:00,78,4,-0.003712804,0.002188169,-0.424190836,-0.859603882,0.25
2023-02-26 14:30:00+00:00,78,4,-0.003712804,0.002188169,-0.424190836,-0.859603882,0.25
2023-02-27 14:30:00+00:00,78,3,-0.009259601,0.003659453,-0.843441138,-2.189819336,0.333333333
2023-02-28 14:30:00+00:00,78,7,-0.022726798,0.006223512,-0.521680625,-5.343109131,0.428571429
2023-03-01 14:30:00+00:00,78,6,0.00289711,0.002047556,0.235818567,0.654891968,0.5
2023-03-02 14:30:00+00:00,78,4,0.008279499,0.002336136,0.886025058,1.917388916,1
2023-03-03 14:30:00+00:00,78,6,0.006764415,0.003033354,0.371668664,1.619873047,0.833333333
2023-03-04 14:30:00+00:00,78,6,0.006764415,0.003033354,0.371668664,1.619873047,0.833333333
2023-03-05 14:30:00+00:00,78,6,0.006764415,0.003033354,0.371668664,1.619873047,0.833333333
2023-03-06 14:30:00+00:00,78,7,-0.017520296,0.003303223,-0.757714416,-4.181686401,0.285714286
2023-03-07 14:30:00+00:00,78,4,-0.014687534,0.009437657,-0.38906728,-3.491104126,0.75
2023-03-08 14:30:00+00:00,78,5,0.011235748,0.0021525,1.043971969,2.686904907,0.8
2023-03-09 14:30:00+00:00,78,4,-0.009543591,0.006908097,-0.345376976,-2.233505249,0.5
2023-03-10 14:30:00+00:00,78,5,-0.012035555,0.002022156,-1.190368806,-2.775085449,0.2
2023-03-11 14:30:00+00:00,78,5,-0.012035555,0.002022156,-1.190368806,-2.775085449,0.2
2023-03-12 14:30:00+00:00,78,5,-0.012035555,0.002022156,-1.190368806,-2.775085449,0.2
2023-03-13 14:30:00+00:00,78,6,-0.010272675,0.00502597,-0.340653176,-2.369308472,0.5
2023-03-14 14:30:00+00:00,78,8,-0.006420201,0.002701254,-0.29709351,-1.534500122,0.375
2023-03-15 14:30:00+00:00,78,4,0.019765497,0.005963505,0.828602312,4.730010986,0.75
2023-03-16 14:30:00+00:00,78,5,0.019126178,0.006190829,0.617887476,4.770492554,0.8
2023-03-17 14:30:00+00:00,78,8,-0.001431991,0.004057492,-0.044115642,-0.37600708,0.5
,,,,,,,
Summary (Average),78,5.555555556,0.000534527,0.003898177,0.040744649,0.070445308,0.53132716
