,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:25:00,18:30:00,18:35:00,18:40:00,18:45:00,18:50:00,18:55:00,19:00:00,19:05:00,19:10:00,19:15:00,19:20:00,19:25:00,19:30:00,19:35:00,19:40:00,19:45:00,19:50:00,19:55:00,20:00:00,20:05:00,20:10:00,20:15:00,20:20:00,20:25:00,20:30:00,20:35:00,20:40:00,20:45:00,20:50:00,20:55:00
2023-01-23 14:30:00+00:00,2685083.0,1601778.0,1620138.0,1394956.0,1695760.0,2293132.0,1736481.0,977527.0,1083078.0,737989.0,1143669.0,781704.0,685143.0,708025.0,1396868.0,1212843.0,1153889.0,725456.0,781010.0,860341.0,1005052.0,901136.0,761553.0,754159.0,730728.0,838530.0,567508.0,734641.0,627466.0,500468.0,457856.0,525003.0,465074.0,444064.0,517707.0,389377.0,321576.0,413569.0,458587.0,292473.0,464426.0,355076.0,870128.0,399925.0,332366.0,392915.0,406613.0,620228.0,718487.0,453999.0,455342.0,697704.0,588811.0,799039.0,321539.0,744010.0,588351.0,638956.0,513078.0,607291.0,569172.0,694792.0,621495.0,779947.0,507397.0,719556.0,579378.0,685397.0,1401581.0,875427.0,672602.0,642347.0,631410.0,710600.0,800253.0,730516.0,1081462.0,1605454.0
2023-01-24 14:30:00+00:00,2637590.0,1431409.0,1330548.0,1530962.0,1968940.0,1941294.0,1450396.0,1203971.0,1442663.0,1245377.0,806368.0,829552.0,705377.0,725847.0,682412.0,532316.0,728216.0,716936.0,508709.0,488116.0,442855.0,376542.0,473020.0,494919.0,542150.0,346019.0,326881.0,242128.0,279797.0,396945.0,542656.0,335520.0,346597.0,202289.0,377232.0,267555.0,254663.0,218125.0,440602.0,458152.0,386551.0,390855.0,598021.0,484368.0,437116.0,615484.0,387131.0,426311.0,300471.0,273630.0,447256.0,325320.0,219716.0,303815.0,374091.0,281278.0,297424.0,241343.0,215142.0,168472.0,237331.0,244897.0,278727.0,439762.0,352652.0,489384.0,425937.0,329203.0,383776.0,311939.0,336836.0,457018.0,477782.0,532400.0,578752.0,440232.0,846904.0,1581413.0
2023-01-25 14:30:00+00:00,2306877.0,1250742.0,1068391.0,791845.0,996190.0,1164630.0,1077060.0,1464981.0,1475986.0,1311005.0,821132.0,726977.0,970713.0,785535.0,668328.0,504920.0,512728.0,632368.0,563964.0,278333.0,694948.0,528357.0,644322.0,336733.0,407340.0,457638.0,328724.0,332765.0,622086.0,493434.0,361460.0,360015.0,351865.0,281858.0,311812.0,222983.0,287986.0,240813.0,276049.0,215730.0,166784.0,220409.0,358201.0,228507.0,315404.0,236119.0,463274.0,440894.0,426075.0,340483.0,551125.0,445685.0,511877.0,325350.0,433371.0,239125.0,555657.0,671215.0,499081.0,315814.0,332928.0,315139.0,393562.0,377208.0,489509.0,665618.0,545950.0,473802.0,443706.0,352963.0,481869.0,467836.0,377020.0,425366.0,306008.0,393334.0,579711.0,968908.0
2023-01-26 14:30:00+00:00,3847606.0,2073026.0,1805181.0,1115632.0,1340348.0,1195027.0,1031776.0,928564.0,1053096.0,767728.0,731809.0,614663.0,459225.0,664036.0,538790.0,338789.0,548557.0,851483.0,550331.0,451752.0,340359.0,440486.0,461151.0,438755.0,341895.0,315591.0,344501.0,398246.0,322284.0,376573.0,346553.0,389963.0,984706.0,485215.0,460389.0,364744.0,337481.0,849210.0,368622.0,317181.0,711198.0,411146.0,277439.0,463959.0,351591.0,200613.0,220920.0,166704.0,227981.0,1097707.0,377385.0,362522.0,330620.0,273891.0,344818.0,394938.0,337931.0,309082.0,417141.0,325405.0,400162.0,223359.0,439722.0,390857.0,400704.0,346479.0,441560.0,587751.0,540052.0,496468.0,394555.0,366442.0,452740.0,388133.0,517185.0,516505.0,764761.0,1580712.0
2023-01-27 14:30:00+00:00,2456622.0,1233131.0,1372569.0,1570249.0,1324310.0,933755.0,2179515.0,1808174.0,951426.0,765099.0,1095299.0,959763.0,857315.0,1040387.0,1105470.0,1051130.0,619250.0,810018.0,559996.0,829507.0,573837.0,650962.0,609903.0,650319.0,625081.0,409140.0,604641.0,368509.0,490250.0,470156.0,422202.0,286937.0,369931.0,502940.0,494589.0,541118.0,245377.0,264922.0,275817.0,221593.0,622629.0,543075.0,586730.0,321243.0,304645.0,348669.0,371422.0,618515.0,437740.0,870407.0,585638.0,558470.0,633833.0,524805.0,466286.0,301973.0,399016.0,423605.0,617100.0,402329.0,423633.0,441036.0,263286.0,327339.0,309185.0,335423.0,409436.0,502397.0,470457.0,468515.0,390470.0,297817.0,400803.0,400117.0,477229.0,718956.0,855712.0,1325872.0
2023-01-28 14:30:00+00:00,2456622.0,1233131.0,1372569.0,1570249.0,1324310.0,933755.0,2179515.0,1808174.0,951426.0,765099.0,1095299.0,959763.0,857315.0,1040387.0,1105470.0,1051130.0,619250.0,810018.0,559996.0,829507.0,573837.0,650962.0,609903.0,650319.0,625081.0,409140.0,604641.0,368509.0,490250.0,470156.0,422202.0,286937.0,369931.0,502940.0,494589.0,541118.0,245377.0,264922.0,275817.0,221593.0,622629.0,543075.0,586730.0,321243.0,304645.0,348669.0,371422.0,618515.0,437740.0,870407.0,585638.0,558470.0,633833.0,524805.0,466286.0,301973.0,399016.0,423605.0,617100.0,402329.0,423633.0,441036.0,263286.0,327339.0,309185.0,335423.0,409436.0,502397.0,470457.0,468515.0,390470.0,297817.0,400803.0,400117.0,477229.0,718956.0,855712.0,1325872.0
2023-01-29 14:30:00+00:00,2456622.0,1233131.0,1372569.0,1570249.0,1324310.0,933755.0,2179515.0,1808174.0,951426.0,765099.0,1095299.0,959763.0,857315.0,1040387.0,1105470.0,1051130.0,619250.0,810018.0,559996.0,829507.0,573837.0,650962.0,609903.0,650319.0,625081.0,409140.0,604641.0,368509.0,490250.0,470156.0,422202.0,286937.0,369931.0,502940.0,494589.0,541118.0,245377.0,264922.0,275817.0,221593.0,622629.0,543075.0,586730.0,321243.0,304645.0,348669.0,371422.0,618515.0,437740.0,870407.0,585638.0,558470.0,633833.0,524805.0,466286.0,301973.0,399016.0,423605.0,617100.0,402329.0,423633.0,441036.0,263286.0,327339.0,309185.0,335423.0,409436.0,502397.0,470457.0,468515.0,390470.0,297817.0,400803.0,400117.0,477229.0,718956.0,855712.0,1325872.0
2023-01-30 14:30:00+00:00,2559486.0,1176946.0,917457.0,1603686.0,1057667.0,837272.0,838525.0,845359.0,661752.0,890347.0,894358.0,1250331.0,666998.0,933289.0,597600.0,789052.0,706885.0,585533.0,521781.0,389188.0,544819.0,481724.0,428912.0,470697.0,455337.0,311061.0,288678.0,524875.0,700908.0,738323.0,481498.0,385532.0,365335.0,534917.0,369525.0,458883.0,469984.0,313025.0,333985.0,513537.0,874200.0,430913.0,552316.0,342816.0,339799.0,547568.0,306278.0,260692.0,362761.0,373176.0,359015.0,392114.0,568173.0,498651.0,379167.0,283431.0,298838.0,232280.0,282324.0,222295.0,323398.0,328646.0,291405.0,281137.0,315505.0,351119.0,394701.0,519846.0,430517.0,726922.0,437679.0,586256.0,762685.0,455454.0,675523.0,601789.0,964401.0,1693666.0
2023-01-31 14:30:00+00:00,2889677.0,1099220.0,1138003.0,1226639.0,963202.0,1162970.0,1364517.0,1132168.0,1051344.0,975195.0,1104524.0,1084689.0,1068516.0,801457.0,695547.0,604201.0,831492.0,924058.0,952919.0,633991.0,634764.0,652701.0,451678.0,603788.0,576130.0,567591.0,712388.0,542745.0,496073.0,395754.0,421206.0,441746.0,211627.0,477519.0,327807.0,292996.0,250568.0,376681.0,193080.0,346140.0,388052.0,425566.0,396162.0,296693.0,207598.0,308455.0,261860.0,229880.0,190607.0,174781.0,322004.0,678320.0,349008.0,322149.0,373964.0,340540.0,259314.0,229863.0,138416.0,116859.0,259650.0,292018.0,254319.0,272116.0,312452.0,212323.0,272131.0,284089.0,489404.0,466265.0,445761.0,416075.0,454449.0,541651.0,391224.0,555679.0,1071996.0,1794180.0
2023-02-01 14:30:00+00:00,2315223.0,1444236.0,1244273.0,1012481.0,1570635.0,1000429.0,1367275.0,800058.0,810429.0,771345.0,1223396.0,921450.0,985790.0,507853.0,757027.0,733690.0,940020.0,853141.0,918258.0,514268.0,706862.0,665078.0,727967.0,531781.0,478992.0,388309.0,279106.0,279757.0,468501.0,541675.0,388704.0,341050.0,325658.0,299598.0,406870.0,272276.0,255903.0,244351.0,372342.0,370007.0,265964.0,378264.0,419522.0,470988.0,341529.0,303482.0,487969.0,632038.0,451396.0,347840.0,343599.0,431041.0,367463.0,361710.0,1042395.0,1144382.0,965821.0,767218.0,468136.0,497747.0,1160470.0,1371996.0,1747579.0,1815651.0,1230450.0,976484.0,1278061.0,1458290.0,987439.0,1053752.0,1020706.0,755059.0,971092.0,1220928.0,892351.0,1022937.0,1272790.0,1716992.0
