,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:25:00,18:30:00,18:35:00,18:40:00,18:45:00,18:50:00,18:55:00,19:00:00,19:05:00,19:10:00,19:15:00,19:20:00,19:25:00,19:30:00,19:35:00,19:40:00,19:45:00,19:50:00,19:55:00,20:00:00,20:05:00,20:10:00,20:15:00,20:20:00,20:25:00,20:30:00,20:35:00,20:40:00,20:45:00,20:50:00,20:55:00
2023-01-23 14:30:00+00:00,10708989.0,5930767.0,4523104.0,3892062.0,4498358.0,4602995.0,3818667.0,3527524.0,3448592.0,2471480.0,2467942.0,3036029.0,2464715.0,1938604.0,2099397.0,3793860.0,2486281.0,2174862.0,1994529.0,2619326.0,2661913.0,2648236.0,2435585.0,3879627.0,2173826.0,1654753.0,2148003.0,2140274.0,2038968.0,1949339.0,2216980.0,1847292.0,1445623.0,1519796.0,1484689.0,1212592.0,1167662.0,1403040.0,1513835.0,1527848.0,1746491.0,2142103.0,1852663.0,2861106.0,1859496.0,1535984.0,2364608.0,1387374.0,2166025.0,2509901.0,1929651.0,1980730.0,2273790.0,2751090.0,1715622.0,4109197.0,2254806.0,1595031.0,2067744.0,2016970.0,2502229.0,2269594.0,2005142.0,3030370.0,1848596.0,1920574.0,2404173.0,2688318.0,2213855.0,2303285.0,1665183.0,1945967.0,2099763.0,2219372.0,1798396.0,3303401.0,2680306.0,3773668.0
2023-01-24 14:30:00+00:00,11793847.0,3469110.0,4153225.0,6232442.0,3841718.0,4193208.0,4848401.0,4984542.0,3241748.0,3121200.0,2229259.0,2225546.0,2750021.0,2001256.0,1711177.0,2693207.0,2331035.0,3159886.0,2077386.0,1848666.0,2030470.0,1267468.0,1935785.0,2501982.0,2094574.0,1722105.0,1547046.0,1373786.0,1337155.0,1120435.0,2385795.0,1543712.0,1241022.0,1524512.0,894112.0,1628252.0,1318211.0,2210281.0,1212158.0,1293208.0,1004401.0,1128359.0,1886290.0,1403826.0,1183041.0,1380166.0,1058328.0,1334532.0,706842.0,1062165.0,1697558.0,1173638.0,1061828.0,896403.0,1376401.0,966878.0,1156877.0,1051391.0,746453.0,636885.0,1396821.0,1592106.0,1108808.0,1490633.0,1207713.0,1612007.0,1226408.0,1069677.0,1336103.0,1145913.0,1157165.0,1165159.0,1488764.0,1141789.0,1220167.0,1595963.0,1843574.0,2565450.0
2023-01-25 14:30:00+00:00,8748957.0,4174449.0,2798099.0,3484455.0,5592834.0,3803854.0,2967959.0,3119687.0,3140696.0,2671614.0,1894805.0,1679374.0,2467092.0,2319825.0,2208912.0,2444353.0,2315971.0,2835776.0,1909421.0,1947825.0,2474629.0,2264099.0,2444390.0,1808061.0,2300967.0,2588589.0,1812140.0,1695131.0,2190583.0,1637043.0,1537238.0,1385188.0,1290971.0,1198038.0,1149883.0,980542.0,1488401.0,1109801.0,1358434.0,1346122.0,1422349.0,1855116.0,1820368.0,1844448.0,2539161.0,1268364.0,1453566.0,1667661.0,1754134.0,1147388.0,1198877.0,1317281.0,1438481.0,1277980.0,1078555.0,1279305.0,1902250.0,2701539.0,3088785.0,2288180.0,2452737.0,1980836.0,2189388.0,1752738.0,1803488.0,1777792.0,2421044.0,1559240.0,1847023.0,1514740.0,1971754.0,2010551.0,1879359.0,2283160.0,1932310.0,1949315.0,2522774.0,3081066.0
2023-01-26 14:30:00+00:00,29733965.0,9265065.0,8558901.0,6252628.0,7040531.0,6592511.0,7734496.0,4096603.0,3620346.0,4965447.0,3627674.0,3391255.0,3388826.0,3441994.0,2451568.0,2894970.0,2697212.0,3467518.0,3011747.0,1886638.0,2155945.0,2154609.0,1863317.0,2119265.0,1649232.0,1969073.0,1967235.0,1858408.0,2391858.0,3358323.0,2508084.0,1336347.0,1507725.0,1255637.0,1252767.0,1911760.0,2475515.0,1571691.0,1930367.0,1436610.0,3088350.0,1877433.0,1744861.0,2030091.0,1475861.0,1116472.0,1620736.0,1504554.0,1809235.0,1531072.0,1023867.0,1299056.0,1248410.0,1915602.0,1576802.0,2435453.0,1930211.0,1707818.0,1739897.0,1522585.0,1974931.0,1437090.0,1555744.0,1290044.0,1944135.0,2001626.0,2115792.0,1599779.0,1430199.0,1650859.0,2449023.0,2104456.0,2568412.0,1744214.0,1862037.0,2048337.0,4166707.0,4587782.0
2023-01-27 14:30:00+00:00,15569415.0,7440647.0,4354530.0,5931919.0,4395733.0,4339803.0,3681260.0,3861571.0,3727669.0,2338805.0,3963636.0,3052874.0,3758018.0,4119032.0,3184769.0,3235665.0,3116685.0,2600506.0,3765603.0,3452129.0,2463485.0,3034228.0,3668433.0,2830504.0,5265270.0,5757077.0,6897396.0,4416660.0,6160621.0,5575050.0,4246117.0,3969156.0,4594635.0,6211192.0,7939851.0,5598584.0,4012066.0,4124779.0,4057712.0,4945159.0,3755783.0,3535379.0,5459334.0,3204526.0,2436658.0,2542237.0,2003907.0,2328810.0,2842183.0,1576823.0,3229826.0,1849576.0,2089085.0,2283951.0,2312366.0,2020761.0,1849132.0,3771309.0,4034757.0,4681188.0,2923540.0,2304660.0,2094637.0,2379842.0,3623103.0,3755420.0,2483774.0,2061441.0,3980921.0,3503221.0,3266151.0,2728340.0,2542688.0,2742717.0,3302664.0,2674148.0,4188193.0,4950599.0
2023-01-28 14:30:00+00:00,15569415.0,7440647.0,4354530.0,5931919.0,4395733.0,4339803.0,3681260.0,3861571.0,3727669.0,2338805.0,3963636.0,3052874.0,3758018.0,4119032.0,3184769.0,3235665.0,3116685.0,2600506.0,3765603.0,3452129.0,2463485.0,3034228.0,3668433.0,2830504.0,5265270.0,5757077.0,6897396.0,4416660.0,6160621.0,5575050.0,4246117.0,3969156.0,4594635.0,6211192.0,7939851.0,5598584.0,4012066.0,4124779.0,4057712.0,4945159.0,3755783.0,3535379.0,5459334.0,3204526.0,2436658.0,2542237.0,2003907.0,2328810.0,2842183.0,1576823.0,3229826.0,1849576.0,2089085.0,2283951.0,2312366.0,2020761.0,1849132.0,3771309.0,4034757.0,4681188.0,2923540.0,2304660.0,2094637.0,2379842.0,3623103.0,3755420.0,2483774.0,2061441.0,3980921.0,3503221.0,3266151.0,2728340.0,2542688.0,2742717.0,3302664.0,2674148.0,4188193.0,4950599.0
2023-01-29 14:30:00+00:00,15569415.0,7440647.0,4354530.0,5931919.0,4395733.0,4339803.0,3681260.0,3861571.0,3727669.0,2338805.0,3963636.0,3052874.0,3758018.0,4119032.0,3184769.0,3235665.0,3116685.0,2600506.0,3765603.0,3452129.0,2463485.0,3034228.0,3668433.0,2830504.0,5265270.0,5757077.0,6897396.0,4416660.0,6160621.0,5575050.0,4246117.0,3969156.0,4594635.0,6211192.0,7939851.0,5598584.0,4012066.0,4124779.0,4057712.0,4945159.0,3755783.0,3535379.0,5459334.0,3204526.0,2436658.0,2542237.0,2003907.0,2328810.0,2842183.0,1576823.0,3229826.0,1849576.0,2089085.0,2283951.0,2312366.0,2020761.0,1849132.0,3771309.0,4034757.0,4681188.0,2923540.0,2304660.0,2094637.0,2379842.0,3623103.0,3755420.0,2483774.0,2061441.0,3980921.0,3503221.0,3266151.0,2728340.0,2542688.0,2742717.0,3302664.0,2674148.0,4188193.0,4950599.0
2023-01-30 14:30:00+00:00,18984367.0,8949343.0,5361105.0,6682024.0,5185728.0,3934385.0,3795693.0,4105535.0,3063561.0,4040692.0,3198427.0,4925403.0,3332555.0,3396531.0,4581298.0,6652005.0,4238498.0,4460921.0,4790970.0,2779230.0,3673431.0,3111909.0,2558017.0,2978039.0,2711173.0,2030225.0,2765187.0,2144405.0,2237397.0,2532563.0,1985787.0,1680568.0,1625513.0,2304495.0,1541107.0,2039131.0,1602344.0,1433188.0,1354822.0,1643408.0,1649518.0,1408004.0,2053200.0,1514771.0,1085586.0,2210059.0,1708142.0,1288803.0,2204883.0,2296212.0,2136463.0,1979332.0,2521687.0,2277452.0,1856968.0,1562948.0,1435954.0,1757588.0,1538505.0,1495576.0,1670269.0,1576027.0,1182392.0,1601997.0,1517173.0,1943576.0,1741248.0,1577667.0,1210165.0,2860661.0,2636933.0,2006637.0,2269019.0,1852614.0,2303467.0,2389796.0,3268421.0,4858405.0
2023-01-31 14:30:00+00:00,13730740.0,5109978.0,4959702.0,6487480.0,5554026.0,4276970.0,4094441.0,3926020.0,2707936.0,3014618.0,3132556.0,2445249.0,2408534.0,3217995.0,2394191.0,4813494.0,3703136.0,3758726.0,3457675.0,3215801.0,3254015.0,2983974.0,1726984.0,1889513.0,1758017.0,2112158.0,1700956.0,2222066.0,1810960.0,1962413.0,3103099.0,2448713.0,1964792.0,2325816.0,1739711.0,1664366.0,1430276.0,2066705.0,1532927.0,1361117.0,1204606.0,1393084.0,1611230.0,2096850.0,1371436.0,1058872.0,1264036.0,1252871.0,1584994.0,1778681.0,1441839.0,1593420.0,1333887.0,1301091.0,1413069.0,1239677.0,1025946.0,1263227.0,1158392.0,1687772.0,1437389.0,1178100.0,1204734.0,1660401.0,1539121.0,1505394.0,3166874.0,2008866.0,2534322.0,2121753.0,1697866.0,1822209.0,1415133.0,1636576.0,2275076.0,2271219.0,3294434.0,3573408.0
2023-02-01 14:30:00+00:00,13241707.0,3971249.0,3525708.0,2993009.0,4888371.0,4635084.0,4005033.0,3079224.0,2616071.0,2203916.0,2110492.0,2219911.0,2458129.0,1964550.0,1651242.0,1747771.0,2970476.0,2999713.0,3446265.0,1998857.0,1734586.0,2005705.0,1594068.0,1210439.0,1825932.0,1877308.0,1546098.0,1300071.0,1776702.0,1325443.0,1275175.0,1088649.0,1327953.0,1269449.0,1366797.0,1109652.0,1087913.0,1541858.0,2166299.0,1500112.0,1229650.0,1844503.0,1453046.0,933031.0,1145386.0,1187302.0,856420.0,1118022.0,1574232.0,1203132.0,1664203.0,1708652.0,829490.0,1289703.0,3399025.0,4401945.0,3629083.0,2825678.0,1726410.0,1602747.0,3977585.0,5342009.0,5648993.0,4629590.0,4109090.0,3129108.0,4083301.0,6794077.0,3805627.0,3792382.0,3234845.0,2534861.0,2415136.0,4716930.0,3442471.0,3613775.0,3376593.0,3751535.0
